pairID,Statement.QUESTION,Statement.RESPONSE,Case_ID.QUESTION,Question_ID.QUESTION
18,Is there a pattern to your abdominal pain?,I don't know what you mean. It hasn't changed much since it started.,581607,233-200
19,What treatments have you had for your abdominal pain?,Nothing. Please do something!,581607,593-200
19,Is there anything that you or a doctor have done for your abdominal pain? Medications or otherwise?,Nothing. Please do something!,KM,
19,"Tell me, have you had anything done to try and alleviate the abdominal pain? Like any treatments?",Nothing. Please do something!,KM,
20,Have you had any trauma to your abdomen?,No.,581607,596-200
20,"In the past, did you have any injuries to your abdominal area that have sustained a lasting effect?",No.,KM,
20,Has there ever been any trauam to your abdomen?,No.,KM,
21,Do you have any problems with movement?,Uh...no.,581607,512
22,Have you been in a situation where you were sitting or lying still for a long time?,Uh...no.,581607,194
23,Tell me about any current or past medical problems.,"I'm still pretty healthy, but I've got some heart issues. High blood pressure, what they call a-fib, and coronary disease. When I was having the a-fib last year they also did a dye test on me and said I had about 50% blockage in one of the arteries in my heart. I wasn’t having any chest pain and they said it wasn’t bad enough for them to put in a stent. They decided to shock me out of the a-fib and then just put me on aspirin and told me to live healthy... You know, the usual stuff they say to you when you have a problem.",RZ,
23,Do you have any previous or ongoing medical problems?,"I'm still pretty healthy, but I've got some heart issues. High blood pressure, what they call a-fib, and coronary disease. When I was having the a-fib last year they also did a dye test on me and said I had about 50% blockage in one of the arteries in my heart. I wasn’t having any chest pain and they said it wasn’t bad enough for them to put in a stent. They decided to shock me out of the a-fib and then just put me on aspirin and told me to live healthy... You know, the usual stuff they say to you when you have a problem.",RZ,
23,Can you tell me about any current or past medical problems you have had?,"I'm still pretty healthy, but I've got some heart issues. High blood pressure, what they call a-fib, and coronary disease. When I was having the a-fib last year they also did a dye test on me and said I had about 50% blockage in one of the arteries in my heart. I wasn’t having any chest pain and they said it wasn’t bad enough for them to put in a stent. They decided to shock me out of the a-fib and then just put me on aspirin and told me to live healthy... You know, the usual stuff they say to you when you have a problem.",581607,261
24,Any new medical issues or diagnoses since your last visit?,What? Why are you asking this?,581607,1310
25,Have you had any recent acute or chronic infection?,No,581607,1156
26,"Have you had chicken pox, mumps, measles or rheumatic fever?",No,581607,568
27,Do you have high cholesterol?,Uh...no.,581607,197
28,Do you have heart disease and/or have you ever had a heart attack?,"I don't have bad disease, but a year ago they did find out that I have some blockage. Not bad enough to do anything about it though.",581607,198
29,Do you have a history of angina?,No.,581607,650
30,Do you have a history of heartburn?,Nope.,581607,1277
31,Have you had any recent blood or lab tests? What were the results?,Nope.,581607,1368
32,"Any previous medical, surgical or dental procedures?",Just when they shocked me to get me out of a-fib. Nothing involving my belly.,581607,263
33,Have you recently had surgery?,What do you consider recent?,581607,677
34,Have you ever had heart surgery?,No. Just that electrical treatment.,581607,695
35,Have you had a colonoscopy?,No,581607,1278
36,"Have you had a recent endoscopy, colonoscopy or biopsy?",No,581607,141
37,Have you ever had a catheterization procedure?,Uh...no.,581607,687
38,Have you been treated for blood clots? (have a history of thrombolytic or anticoagulation therapy)?,Uh...no.,581607,651
39,Did your fatigue/tiredness begin following surgery or medical procedure?,I'm not fatigued.,581607,11
40,Have you ever been hospitalized?,Only briefly for the heart-shock treatment.,581607,40
41,What childhood illnesses have you had?,"The usual coughs, colds and tummy aches.  Nothing remarkable.",581607,573
42,"Do you have any allergies, such as medications, food and/or latex, for example?",Not to my knowledge.,581607,247
42,Have you ever had any allergies?,Not to my knowledge.,SP,
42,Are you allergic to anything?,Not to my knowledge.,SP,
43,Are you taking any prescription medications?,Just the metoprolol and lisinopril.,581607,248
43,Do you take any prescribed medications?,Just the metoprolol and lisinopril.,RZ,
43,Please list any prescribed medications you currently take.,Just the metoprolol and lisinopril.,RZ,
44,Are you taking any over-the-counter or herbal medications?,Aspirin when I can remember it.,581607,253
44,Are you taking anything over-the counter? How about herbal medications?,Aspirin when I can remember it.,SP,
44,Do you take over-the-counter or herbal medications?,Aspirin when I can remember it.,SP,
45,Have you been taking your medications as prescribed?,Of course.,581607,583
46,Are you taking aspirin or NSAIDs? How much and how often?,Yes aspirin when I can remember.,581607,505
47,Do you take fish oil supplements?,Uh...no.,581607,1350
48,Are you having any problems with your medications?,Nope.,581607,584
49,Have you noticed any side effects from any new medications?,Nope.,581607,1340
50,How much of your medication did you take?,Just what's prescribed.,581607,250
51,Are your immunizations up to date?,"I'm sure they must be. My primary care doctor is real good about things like that. And, I get a flu shot every year.",581607,465
52,Have you recently traveled? Where did you go?,No,581607,26
53,"Tell me about the health of your grandparents, parents and children.","My mom, God bless her, is still alive at 95 despite a bad case of dementia. She's got high blood pressure, too.",581607,579
54,Are there any diseases that run in your family?,No.,581607,324
55,Do you know of any genetic diseases that are found in your family?,No,581607,645
56,"Do you drink alcohol? If so, what do you drink and how many drinks per day?",I'm a lightweight. I don't drink alcohol any more often than a beer once every 3 to 4 months.,581607,258
56,How many alcoholic beverages do you consume per day?,I'm a lightweight. I don't drink alcohol any more often than a beer once every 3 to 4 months.,RZ,
56,"If you drink alcohol, would you mind telling me your habits surrounding this?",I'm a lightweight. I don't drink alcohol any more often than a beer once every 3 to 4 months.,RZ,
57,Has drinking alcohol ever caused you problems?,Uh...no.,581607,315
58,"Do you use any recreational drugs? If so, what?",No,581607,257
58,Have you been using any illicit drugs or substances?,No,KM,
58,"Now I have to ask, and this is important: do you have a history of using any drugs or are you using now? You will not get in trouble, but I need to know just in case it might be influencing what's going on.",No,KM,
59,Do you now or have you ever smoked or chewed tobacco?,I sure do... a pack a day for 50 years and I ain't quitting.,581607,254
59,Tell me about your smoking habits.,I sure do... a pack a day for 50 years and I ain't quitting.,RZ,
59,Do you have a history with tobacco products?,I sure do... a pack a day for 50 years and I ain't quitting.,RZ,
60,"Can you tell me about your diet, what do you normally eat?",I pretty much eat what I want to; including red meats and sweets.,581607,378
61,How much water/fluids do you drink in a day?,A normal amount.,581607,1406
62,Do you drink caffeinated beverages or eat chocolate?,No.,581607,89
63,How is your appetite? Any recent change?,"It was fine this morning, but I haven't eaten anything since. I ate a bowl of oatmeal for breakfast several hours before this pain started. You don't think that oatmeal was bad, do you?  My wife had some and she's fine.",581607,92
63,Have there been any changes in your recent eating habits?,"It was fine this morning, but I haven't eaten anything since. I ate a bowl of oatmeal for breakfast several hours before this pain started. You don't think that oatmeal was bad, do you? My wife had some and she's fine.",RZ,
63,How has your appetite been since the onset of your abdominal issues?,"It was fine this morning, but I haven't eaten anything since. I ate a bowl of oatmeal for breakfast several hours before this pain started. You don't think that oatmeal was bad, do you?  My wife had some and she's fine.",RZ,
64,How many bowel movements do you have a day?,A normal amount.,581607,1421
65,Tell me about your social/leisure activities.,I don't have much to tell.,581607,558
66,Tell me about daily exercise or sports that you play.,I don't play sports.,581607,559
67,Any new exercise or activities?,Uh...no.,581607,1281
68,Has your level of activity recently changed?,Nope.,581607,280
69,"On average, how many hours per night do you sleep?",6-8 hours.,581607,608
70,Do you nap during the day?,No,581607,85
71,Do you have a family?,Yeah.,581607,567
72,How is your family and family life?,Pretty good I guess.,581607,17
73,Do you work or live with small children?,No.,581607,476
74,"Do you have parents, children, other family members or individuals living in your home?",Why do you need to know that?,581607,1286
,Tell me about your family life. Does anyone live with you?,Why do you need to know that?,RZ,
75,Do you have any children? Spouse? Significant partner?,"Yes, I have a very dear wife and a few scattered, grown children.",581607,531
77,Do you have a disability?,Nope.,581607,1658
78,Does anyone in your household have a disability?,No.,581607,1290
79,Do you have assistance at home?,Why are you asking me this?,581607,1287
81,"Do you have any of the following problems: fatigue, difficulty sleeping, unintentional weight loss or gain, fevers, night sweats?",That's a big long list. None of that stuff. What does that have to do with my belly?,581607,1239
81,"Are you experiencing any of the following: fatigue, difficulty sleeping, unitentional weight loss or gain, fevers, or night sweats?",That's a big long list. None of that stuff. What does that have to do with my belly?,,
81,"Have you noticed any of the following: fatigue, difficulty sleeping, unitentional weight loss or gain, fevers, or night sweats?",That's a big long list. None of that stuff. What does that have to do with my belly?,,
82,"Do you have any problems with: itchy scalp, skin changes, moles, thinning hair, brittle nails?",No.,581607,1238
83,"Do you have any problems with: headaches that don't go away with aspirin or Tylenol (acetaminophen), double or blurred vision, difficulty with night vision, problems hearing, ear pain, sinus problems, chronic sore throats, difficulty swallowing?",No,581607,1240
83,"Are you experiencing headaches that don't go away with aspirin or Tylenol (acetaminophen), double or blurred vision, difficulty with night vision, problems hearing, ear pain, sinus problems, chronic sore throats, difficulty swallowing?",No,SP,
83,"Have you noticed headaches that don't go away with aspirin or Tylenol (acetaminophen), double or blurred vision, difficulty with night vision, problems hearing, ear pain, sinus problems, chronic sore throats, difficulty swallowing?",No,SP,
84,"Have you noticed any breast: discharge, lumps, scaly nipples, pain, swelling or redness?",Uh...no.,581607,1241
85,Do you experience: chest pain discomfort or pressure; pain/pressure/dizziness with exertion or getting angry; palpitations; decreased exercise tolerance; blue/cold fingers and toes?,I keep telling you my belly hurts! What do you really need to know about all that other stuff?,581607,1242
85,Are you experiencing any pain or any kind of tightness in your chest?,I keep telling you my belly hurts! What do you really need to know about all that other stuff?,SP,
85,How's your chest? Is there any pain or discomfort there?,I keep telling you my belly hurts! What do you really need to know about all that other stuff?,SP,
86,"Do you experience: shortness of breath, wheezing, difficulty catching your breath, chronic cough, sputum production?",No coughing or wheezing. I am a little short of breath. Did I tell you that already?,581607,1243
86,"Are you experiencing any of the following: shortness of breath, wheezing, difficulty catching your breath, chronic cough, sputum production?",No coughing or wheezing. I am a little short of breath. Did I tell you that already?,SP,
86,"Have you noticed any of the following: shortness of breath, wheezing, difficulty catching your breath, chronic cough, sputum production?",No coughing or wheezing. I am a little short of breath. Did I tell you that already?,SP,
87,"Do you have problems with: nausea, vomiting, constipation, diarrhea, coffee grounds in your vomit, dark tarry stool, bright red blood in your bowel movements, early satiety, bloating?",Did I tell you about the nausea and vomiting? What else did you ask?,581607,1244
87,"Tell me about any troubles you've had with bowel movements, nausea and vomiting.",Did I tell you about the nausea and vomiting? What else did you ask?,KM,
87,"Have you experienced any of the following symptoms: nausea, vomiting, constipation, diarrhea, coffee grounds in your vomit, dark tarry stool, bright red blood in your bowel movements, early satiety, bloating?",Did I tell you about the nausea and vomiting? What else did you ask?,KM,
88,"When you urinate, have you noticed: pain, burning, blood, difficulty starting or stopping, dribbling, incontinence, urgency during day or night or any changes in frequency?",What does peeing have to do with my stomach? No pain peeing or blood or anything like that.,581607,1250
88,"Have you noticed any of the followng while going to the restroom: pain, burning, blood, difficulty starting or stopping, dribbling, incontinence, urgency during day or night or any changes in frequency?",What does peeing have to do with my stomach? No pain peeing or blood or anything like that.,,
88,"Have you seen anything different when you pee? For example: pain, burning, blood, difficulty starting or stopping, dribbling, incontinence, urgency during day or night or any changes in frequency?",What does peeing have to do with my stomach? No pain peeing or blood or anything like that.,,
89,"Do you have problems with: muscle or joint pain, redness, swelling, muscle cramps, joint stiffness, joint swelling or redness, back pain, neck or shoulder pain, hip pain?",No.,581607,1245
89,"Tell me, do you have any of the following problems: muscle or joint pain, redness, swelling, muscle cramps, joint stiffness, joint swelling or redness, back pain, neck or shoulder pain, or hip pain?",No.,KM,
89,"Have you had any issues with any of the following: muscle or joint pain, redness, swelling, muscle cramps, joint stiffness, joint swelling or redness, back pain, neck or shoulder pain, or hip pain?",No.,KM,
90,"Do you have any of the following: heat or cold intolerance, increased thirst, increased sweating, frequent urination, change in appetite?",No.,581607,1247
91,"Have you noticed: any bruising, bleeding gums, nose bleeds or other sites of increased bleeding?",No,581607,1246
92,"Do you have any of the following: dizziness, fainting, spinning room, seizures, weakness, numbness, tingling, tremor?",No.,581607,1248
92,"Are you experiencing any of the following:dizziness, fainting, spinning room, seizures, weakness, numbness, tingling, tremor?",No.,SP,
92,"Have you noticed any of the following: dizziness, fainting, spinning room, seizures, weakness, numbness, tingling, tremor?",No.,SP,
93,"Do you have any problems with: nervousness, depression, lack of interest, sadness, memory loss, or mood changes, or ever hear voices or see things that you know are not there?",No,581607,1249
95,Are you short of breath at rest?,Yes. I've only felt a little winded over the last hour.,581607,1224
96,Do you sleep with pillows to help you breathe?,No,581607,204
97,Does your chest feel tight or heavy?,"No, not at all. But, I have felt a little winded over the last hour or so since I got to the hospital.",581607,211
98,"Do you have the sensation of a ""pounding heart"" in your chest?",Nope.,581607,1225
99,Do you have a history of irregular heartbeats?,Yes. I had what they call atrial fibrillation. They fixed it electrically about a year ago.,581607,411
100,Did you or have you ever lost consciousness?,Uh...no.,581607,574
101,Do your fingers turn white or blue when exposed to the cold?,No.,581607,1173
102,Have you noticed that your hands and feet are cold?,Nope.,581607,1206
103,Do you have a cough?,Uh...no.,581607,545-12
104,Do you have any symptoms that occur at the same time as your headache?,I don't have a headache.,581607,63
105,Do you have a headache?,Nope.,581607,545-28
106,"Is there violence, abuse, trauma or bullying in your home living situation? If so, by whom?",No,581607,1291
107,"Are there any guns in your home? If so, are they stored in a secure location?",No,581607,625
108,"Within your list of responsibilities and priorities, where does your health fall?",Why do you need to know that?,581607,1285
109,Tell me about your work.,"I'm retired now, but I was in construction for most of my years.",581607,557
,"Do you currently work? If so, what is your occupation?","I'm retired now, but I was in construction for most of my years.",RZ,
,What do you do for a living?,"I'm retired now, but I was in construction for most of my years.",RZ,
110,What is your highest level/grade in school?,I don't know why you are asking me this.,581607,1284
111,What is your education background?,Why do you need to know that?,581607,569
112,How are your grades in school?,What? Why are you asking this?,581607,706
113,Do you have any difficulty performing activities of daily living?,No.,581607,446
114,Tell me about your family and friends? Has anything changed?,What do you want to know?,581607,709
116,Do you practice any religion?,Uh...no.,581607,343
117,Do your religious or cultural beliefs prevent you from receiving certain types of medical care or treatment?,Nope.,581607,449
119,Have you had any more stress in your life lately?,Uh...no.,581607,16
120,Do you feel sudden episodes of intense anxiety?,Nope.,581607,38
121,"Have you had panic attacks? If so, can you describe them.",No,581607,750
122,How do you feel about life?,It's OK I guess. The normal ups and downs.,581607,375
123,Do you feel happy most of the time?,Yeah.,581607,722
124,Are you sexually active?,That's private. What does that have to do with my stomach anyway?,581607,435
125,Have you ever had abdominal surgery?,Uh...no.,581607,684
126,Do you require assistance to go to the toilet?,No,581607,522
127,Are you having any trouble hearing?,No.,581607,6
128,Are there unusual sounds in your ears?,No.,581607,5
129,Are your eyes tearing and/or itching?,No,581607,1124
130,Are you having any problems with your eyes?,No,581607,332
131,Do you have nose bleeds?,Uh...no.,581607,420
132,Have you recently had an upper respiratory infection?,No.,581607,369
133,Do you have a runny nose/nasal congestion?,No.,581607,1702
134,Do you have sinus pain?,No,581607,1105
135,Have you ever had bleeding gums before?,Don't have that problem.,581607,1715
136,Do you have a sore throat?,No,581607,545-46
137,Is your voice hoarse?,Uh...no.,581607,303
138,Do you have pain or swelling in a testicle?,No,581607,483
139,Do you have difficulty getting or keeping an erection (erectile dysfunction)?,Nope.,581607,545-23
140,Have you had urethral discharge?,Nope.,581607,358
141,Do you have joint or bone pain?,No.,581607,1103
142,Do you have muscle pain or cramping?,No.,581607,81
143,Are you stiff anywhere?,No,581607,279
145,Have you ever been diagnosed with thyroid problems?,Nope.,581607,118
146,Do you believe you have any neurological problems?,Uh...no.,581607,273
147,Do you have any tingling or numbness anywhere?,Uh...no.,581607,588
148,Have you had any seizures?,Nope.,581607,49
149,Do you have any mental health problems?,No.,581607,88
151,Do you have a sense of impending doom?,No.,581607,210
152,Do you have any abnormal body hair loss or gain?,Nope.,581607,380
170,Do you have high blood pressure?,"Yeah, diagnosed back when I was 60.",583334,196
171,Have you ever had an ECG (EKG)?,Yes.,583334,575
172,Have you ever had a stroke?,Uh...no.,583334,572
173,Have you ever been diagnosed with a congenital heart problem?,Uh...no.,583334,697
174,Do you have a history of heart failure (HF)?,Nope.,583334,1119
179,Do you have diabetes?,No,583334,164
180,Do you have a history of a bowel obstruction?,No,583334,1126
181,How is your overall health?,"Well, I've got some issues, but I'm still pretty healthy.",583334,201
182,Are you worried about your health?,"Not generally, but I'm worried right now.",583334,710
184,Has anyone else you know developed these symptoms?,Uh...no.,583334,322
185,When did your nausea and/or vomiting start?,Just after the pain came on.,583334,561-39
186,How often are you nauseous or vomiting?,Just this morning.,583334,541-39
187,How severe is your nausea and/or vomiting?,"I don't know how to measure that. I can tell you I'm fairly nauseated since the pain came. I've thrown up a few times, too.",583334,543-39
188,Have you been vomiting anything that looks like blood or coffee grounds?,No. That would be quite alarming.,583334,1196
189,What does your vomit look like?,Mostly the oatmeal I had for breakfast... no blood or anything like that.,583334,450
189,Please describe the vomit you mentioned earlier.,Mostly the oatmeal I had for breakfast... no blood or anything like that.,KM,
189,What did the throw up look like?,Mostly the oatmeal I had for breakfast... no blood or anything like that.,KM,
196,Have you had any significant traumatic injuries or accidents?,Nope.,583334,90
202,Do you have trouble taking medicines the way you have been told to take them?,Nope.,583334,1766
204,Are you taking any medications for your symptoms?,Not yet.,583334,246
206,Are you taking any medications that were prescribed by a different health care provider?,Just by my primary doctor.,583334,252
207,Any new or recent change in medications?,"No, same ones for a while now.",583334,251
209,When did you last take your medications?,"This morning, I believe.",583334,249
211,When was your last physical?,Uh...I really don't remember.,583334,1341
215,Have you had any contact with other sick people?,Don't believe so.,583334,39
218,Anything new in your family medical history I should know about?,Nope.,583334,1339
219,Have you or any family member had a history of gallstones?,Nope.,583334,642
220,Have either of your parents or a blood sibling died? From what? And how old were they?,My dad died when he was 65 of a heart attack. My mother is still going at 95.,583334,259
221,Where and with whom are you living?,Do you really need to know that?,583334,779
226,Does anything trigger your sudden dread or fright?,Don't have that problem.,583334,179
227,What causes you to become nervous or afraid?,That's not a problem for me.,583334,185
230,How many children are in your household?,Do you really need to know that?,583334,1289
232,Have you been eating anything out of the ordinary lately?,No,583334,1226
233,Are you eating a lot of salty food?,Nope.,583334,1356
234,What did you eat yesterday?,Can't remember.,583334,535
243,Is there any stiffness in your neck?,Nope.,583334,551-219
245,When did your difficulty breathing start?,I don't have difficulty breathing ... I am feeling a little short of breath.,583334,561-19
246,When did you first notice feeling short of breath?,It just started one hour back.,583334,1675
247,How long does your shortness of breath last?,It just started in the last hour or so after I got here.,583334,1419
248,Does anything make your shortness of breath better or worse?,"It just started one hour back, so I really can't say.",583334,1676
249,Do you become short of breath with exertion?,Usually not. But a little bit over the last hour since I got here.,583334,10
251,Are you short of breath when lying down?,Normally? No.,583334,203
254,Do you have unusual heartbeats (palpitations)?,"Yeah, funny thing. For the past 2 days I have. I haven't had that since the heart shock treatment a year ago.",583334,545-42
260,Do you have diarrhea?,"No, not diarrhea. I did have 1 loose stool not long after this pain started, though. No blood or anything. And before that -- when I got up this morning -- I had a normal bowel movement.",583334,545-14
260,Are you experiencing diarrhea?,"No, not diarrhea. I did have 1 loose stool not long after this pain started, though. No blood or anything. And before that -- when I got up this morning -- I had a normal bowel movement.",SP,
260,Diarrhea?,"No, not diarrhea. I did have 1 loose stool not long after this pain started, though. No blood or anything. And before that -- when I got up this morning -- I had a normal bowel movement.",SP,
261,Do you have a problem with constipation?,Uh...no.,583334,545-11
262,"Do you have pain, tenderness or uncomfortable fullness around your anus?",No,583334,363
263,Have you passed gas?,Like just now?,583334,1652
264,When did you last pass gas?,I don't keep a log of that sort of thing. Is that important?,583334,1653
265,Are you unable to pass gas?,That would be the day! I've never had any problems with that.,583334,672
266,"What laxatives, enemas or suppositories do you use?",I don't use those things.,583334,291
268,Have you had erectile dysfunction problems before?,Nope.,583334,242-23
275,Do you or have you had liver problems?,Nope.,583334,570
276,Do you have any history of lung disease?,Nope.,583334,1218
282,When was the last time you vomited blood or coffee grounds?,I haven't vomited that.,603854,1199
284,What are the events surrounding the start of your nausea and/or vomiting?,Came on right after the pain in my belly.,603854,267-39
285,Does anything make your nausea and/or vomiting better or worse?,Not really.,603854,244-39
287,Has there been any change in your nausea and/or vomiting over time?,"No, just started this morning.",603854,439-39
288,Does your nausea and/or vomiting come and go?,"No, the nausea is pretty constant.",603854,604-39
289,Is there any pattern to your nausea and/or vomiting?,"No, just started this morning.",603854,542-39
290,What treatments have you had for your nausea and/or vomiting?,Nothing.,603854,590-39
291,Do you have any pain in your abdomen?,I sure do! That's why I'm here.,603854,230-200
318,Have you ever had CT scans?,Uh...no.,603854,1699
326,Have you had a flu shot?,Yes.,603854,1280
327,Have you had a pneumovax injection?,"Yes, I think I got one along with my flu shot.",603854,1279
330,What is your name?,{{patient:full_name}},603854,563
331,How old are you?,I'm 71.,603854,316
336,How much do you smoke a day?,A pack a day.,603854,255
339,When did your diarrhea start?,I don't have that problem.,603854,561-14
340,Do you have a problem with generalized weakness?,No.,603854,545-38
341,Do you have a dizziness problem?,Uh...no.,603854,545-16
342,Are you belching?,Uh...no.,603854,340
346,Do you feel full before you finish eating a normal size meal?,Nope.,603854,636
348,Do you become more weak or tired with exertion?,Uh...no.,603854,9
351,How often do you have palpitations?,Just started up again 2 days ago. I hadn't had any problems since they shocked me a year ago.,603854,541-42
352,Is there any pattern to when your palpitations occur?,I don't know how to answer that. This just started up again recently.,603854,542-42
353,Do you have shaking chills?,Uh...no.,603854,46
355,What symptom is the most distressing for you?,"Oh, boy, the pain in my stomach.",603854,284
356,"Do you have pain anywhere? If so, where?",My stomach sure is hurting... That's why I'm here!,603854,172
360,Do you have difficulty breathing?,"I don't have difficulty breathing, I am feeling a little short of breath.",603854,545-19
361,Are you short of breath?,I've only felt a little winded over the last hour.,603854,45
366,Do you awaken at night short of breath?,No.,603854,93
376,"What does the pain/discomfort in your chest feel like? (squeezing, pressure, crushing, burning, stabbing, aching, tingling, suffocating, tingling)",Why are you asking me that?  I don't have pain there.,615553,235-204
384,When and what did you last eat?,I had some oatmeal this morning. Several hours before this started.,615553,264
388,Do you need help from others in taking your own medications?,Uh.... why are you asking me this?,615553,1765
400,Does the pain in your abdomen come and go?,"It is constant, but sometimes it sort of spikes worse if you know what I mean. Overall, it seems to be getting worse.",626373,238-200
403,How quickly does the pain in your abdomen come on?,Pretty darn quickly.,626373,232-200
406,Any change in the frequency of your bowel movements?,Nope.,626373,341
438,Do you have a history of blood clots?,No.,626373,377
439,Do you have a history of deep vein thrombosis or pulmonary embolism?,No.,626373,423
449,Have you had difficulty in breathing like this before?,I don't have difficulty breathing ... I am feeling a little short of breath.,626373,242-19
451,Is there any blood in your stools or with your bowel movement?,Red stuff? No. I haven't seen that in the toilet.,626373,171
452,Do you have black tar-like or foul smelling stools?,No. Nothing black. I wouldn't say they are any stinkier than usual.,626373,286
453,Do you have bloody diarrhea?,No,626373,134
454,Is there any change in the shape of your stools?,I'm not sure I understand your question.,626373,278
455,Have you had any yellowing of the skin or eyes (jaundice)?,Nope.,626373,545-34
460,Do you avoid eating because you are worried about pain?,"Well, all I can say is I don't want to eat anything right now for sure.",626373,646
465,Have you been having fevers?,No. ,626994,545-25
465,"Have you had a fever in the past 24-48 hours? If so, how high of a fever and for how long?",No. ,KM,
465,Any fevers recently?,No. ,KM,
492,Do you have a family history of aortic aneurysm?,No.,626994,640
499,Do you have an advance directive?,I'm not sure.,626994,1472
515,Do you have an ulcer?,No.,626994,136
518,Do you have any pain in your chest?,No,626994,230-204
535,What are the events surrounding the start of your diarrhea?,I don't really have that problem.,626994,267-14
536,When did your high blood pressure start?,I've been on medications for my blood pressure since I was 60.,626994,561-32
538,Are you passing a lot of gas?,Why is that important?,626994,276
540,When did your palpitations start?,This time around? Two days ago.,626994,561-42
541,What are the events surrounding the start of your palpitations?,Just started up again 2 days ago. I hadn't had any problems since they shocked me a year ago.,626994,267-42
542,Does anything make your palpitations better or worse?,I can't tell.,626994,244-42
543,How severe are your palpitations?,Not that bad. It's just that I'm aware of it in the background.,626994,543-42
544,Do you have any pain or other symptoms associated with your palpitations?,You mean besides the belly pain?,626994,598-42
548,Do you have any bladder problems?,Uh...no.,626994,519
549,Do you have any difficulty urinating?,Nope.,626994,1165
552,Does your pain awaken you from sleep?,I haven't tried to sleep since it started.,626994,1237
562,Do you have any pain in your back?,Uh...no.,626994,230-203
572,Do you have nausea and/or vomiting?,Nauseated since the pain came. I've thrown up a few times too.,630657,545-39
591,Does anyone in your family have problems with high blood pressure?,"My dad had a problem with it, and my mother does too.",630657,444-32
597,Do you have a problem with fatigue/tiredness?,Nope.,630657,545-24
